Topic,Max_Probability,Document_ID,Abstract
0,0.6405,4046,"Large emissions of mercury (Hg) occur in the Amazon Basin as a result of gold mining activities. Mercury and aerosol particles were collected in the Amazon basin, as part of the SCAR-B - Smoke Clouds and Radiation - Brazil experiment in August and September 1995. Three airplanes were used to collect total mercury and aerosol particles. Sampling was performed with the University of Washington Lockheed C131A airplane, as well as in two Brazilian Bandeirante EMB 120 planes. Atmospheric mercury was sampled using two gold traps in series for each sampling line and measured with atomic fluorescence spectrometer (AFS). Aerosols were collected on Teflon and polycarbonate filters and analyzed by particle-induced X-ray emission (PIXE) for up to 20 elements, and by instrumental neutron activation analysis (INAA) for up to 39 elements. Absorbing aerosols expressed as black carbon (BC), and aerosol gravimetric mass were also determined. Sampling time was 2-4h. The sampling period was at the peak of the biomass burning season, when most of the Hg is emitted. Concentrations for total Hg in this study were as high as 14.8ngm-3. Factor analysis was performed for the combined (aerosol and Hg) data set and six factors were observed: A soil dust component; a biomass-burning factor (with fine mode mass concentration, BC, K, Cl, Zn and others); a natural biogenic component (P, K, S, Ca, Mn, Zn); a second soil dust factor (enriched in Si); a sea-salt aerosol component, with NaCl; and a factor related to gold mining activities, with Hg, Pb and other elements. Hg was also clearly associated with the biomass-burning component, in addition to the gold mining activities component. An average of 63% of the Hg concentrations was associated with the gold mining activities. About 31% of the Hg concentration was associated with the biomass-burning component, the soil dust accounted for 4% and the NaCl component for 2.1% of the airborne Hg concentrations. The high association between Hg and biomass burning can be caused by at least three mechanisms: (1)adsorption of gaseous Hg on existing biomass burning particles; (2)direct release of Hg from the vegetation to the atmosphere during forest burning; (3)evaporation of Hg from soil during the forest burning. Three-dimensional long-range air mass trajectory analyses show the possibility that Hg exits the Amazon Basin over two main routes: to the South Atlantic, and to the Tropical Pacific, over the Andes. Copyright (C) 2000 Elsevier Science Ltd.; Large emissions of Hg were observed in the Amazon Basin as a result of gold mining activities. Atmospheric Hg was sampled using two gold traps on series for each sampling line and measured with atomic fluorescence spectrometer. Absorbing aerosols expressed as black carbon and aerosol gravimetric mass were determined. Factor analysis was performed for the combined aerosol and Hg data set. Six factors were observed: soil dust component; biomass-burning factor; biogenic component; second soil dust factor; sea-salt aerosol component; and a factor related to mining activities."
1,0.8777,4056,"Particle size distribution measurements were performed during the AEROSOL field campaign and during INDOEX. A Tandem Differential Mobility Particle Sizer (TDMPS)-System was used to characterize the dry particle size distribution in the size range 3-800 nm. During the expedition, aerosol from biomass burning was transported from the African continent over the Ocean. The particle size distributions observed were statistically analyzed."
2,0.8653,4059,"Atmospheric particulate PAH concentrations were measured at two locations in Mumbai (formerly Bombay), India. Total PAH concentrations (seven compounds) at Saki Naka and Indian Institute of Technology (IIT) were 38.8 and 24.5ngm-3. Pyrene and benz(a)anthracene+chrysene were abundant at both sites while benzo(b)fluoranthene and benzo(k)fluoranthene were abundant, in addition, at the IIT site. The large amount of pyrene in the ambient samples in Mumbai is likely from cooking-fuel combustion (animal manure, kerosene and liquefied petroleum gas) in addition to vehicular emissions. Pyrene and chrysene are also emitted from industrial oil burning while the low concentrations of benzo(a)pyrene indicate that wood burning is not a significant source. At the IIT site, primarily vehicular emissions along with cooking fuel emissions are the likely contributors while industrial oil burning is an additional contributor at Saki Naka, accounting for the higher concentrations of pyrene and chrysene/benz(a)anthracene. In urban areas vehicular emissions are likely to be the primary contributor to PAH concentrations with additional local contributors like cooking fuel or industrial emissions. © 2000."
3,0.4369,1690,"We estimated associations between ambient air pollution, home environment and asthma as well as rhinitis among adults across China. A total of 40,279 young adults from eight Chinese cities participated in a questionnaire survey (participation rate 75%). There were questions on health and home environment. Information on city level gross domestic product (GDP) per capita, ambient temperature and PM10 and NO2 were collected from registers. Two-level logistic regression models were used to study health associations. Totally 1.6% reported asthma and 6.6% reported allergic rhinitis (AR). Higher temperature was associated with more asthma but less AR. Higher GDP was associated with less asthma but more AR. Higher degree of urbanization, higher level of NO2 and living near heavily trafficked road were risk factors for asthma and AR. Participants in older buildings reported more asthma. Redecoration and buying new furniture were related to more asthma and AR (OR = 1.15–1.91). Using natural gas (OR = 1.34) and biomass (OR = 1.35) for cooking were risk factors for AR. Burning mosquito coils and incense increased the risk of asthma and AR. Cat keeping (OR = 2.88), dog keeping (OR = 2.04), cockroaches (OR = 1.54) and rats or mice (OR = 1.46) were associated with asthma. Cockroaches increased the risk of AR (OR = 1.22). Air humidifier and air cleaner were linked to asthma and AR. Frequent cleaning and exposing bedding to sunshine were protective. In conclusion, urbanization, NO2 and traffic exhaust can increase the risk of adult asthma and AR. Higher ambient temperature was related to more asthma but less AR. Indoor animals such as cats, dogs, rats/mice and presence of cockroaches were associated with asthma or AR. Indoor chemical sources such as redecoration and new furniture were other risk factors. Cooking with natural gas or biomass and burning mosquito coils and incense were associated with asthma or AR. Frequent cleaning and exposing bedding to sunshine were protective. © 2020 The Authors"
4,0.5767,182,"The chemical composition and potential health risks linked to human exposure to ambient PM10 particles were assessed at the Winneba highway intersection (WHI) and Apam, a wood-burning neighbourhood in Ghana’s Central Region. PM10 particulates were collected using a Gent sampler equipped with a Gast pump and a stacked filter unit. The sampling was done three times a week continuously from July 2022 to June 2023, for 24 h. A smoke stain reflectometer and an Ag-anode X-ray tube spectrometer were used to analyse the samples for black carbon and elemental contents, respectively. The health hazards associated with trace elements were evaluated using the US EPA health risk assessment model. The study’s findings indicated that the amounts of Cr (250.5 ng/m3) and Ni (358.1 ng/m3) detected at Apam surpassed the US EPA threshold limits, as did the values discovered at the WHI, which were 78.63 and 178.2 ng/m3, respectively. PCA indicated that PM10 particles were produced at WHI by soil dust, vehicle exhaust, brake and tyre wear, and two-stroke engines, whereas biomass burning, soil dust, and vehicle exhaust emissions contributed to PM10 at Apam. The non-carcinogenic risks of children’s exposure to trace metals in PM10 via the three exposure pathways were higher compared to adults. The overall cancer risk values for exposure to carcinogenic trace metals from ingestion and dermal contact were more than 10−4, suggesting high cancer risks: 9.49 × 10−4–5.20 × 10−3 for children and 9.03 × 10−4–5.26 × 10−3 for adults. Reducing PM10 and the health concerns it poses requires the use of clean fuel and the adoption of environmentally friendly transportation. © 2024 Informa UK Limited, trading as Taylor & Francis Group."
5,0.7772,4087,"Airborne observations during August 1985 over Greenland and the North American Arctic revealed that dense, discrete haze layers were common above 850 mb. No such hazes were found near the surface in areas remote from local sources of particles. The haze layers aloft were characterized by large light-scattering coefficients due to dry particles (maximum value 1.24 × 10-4m-1) and relatively high total particle concentrations (maximum value 3100 cm-3). Sulfate was the dominant ionic component of the aerosol (0.06 - 1.9 μg m-3); carbon soot was also present. Evidence for relatively fresh aerosols, accompanied by NO2 and O3 depletion, was found near, but not within, the haze layers. The hazes probably derived from anthropogenic sources and/or biomass burning at midlatitudes. It is hypothesized that the scavenging of particles by stratus clouds plays an important role in reducing the frequency and intensity of hazes at the surface in the Arctic in summer. Since the detection of haze layers aloft through measurements of column-integrated parameters from the surface (e.g., by lidar) cannot be carried out reliably when clouds are present, such measurements have likely underestimated the occurrence of haze layers in the Arctic, particularly in summer. © 1989 Kluwer Academic Publishers."
6,0.4914,594,"As wildfires intensify and fire seasons lengthen across the western US, the development of models that can predict smoke plume concentrations and track wildfire-induced air pollution exposures has become critical. Wildfire smoke plume height is a key indicator of the vertical placement of plume mass emitted from wildfire-related aerosol sources in climate and air quality models. With advancements in Earth observation (EO) satellites, spaceborne products for aerosol layer height or plume injection height have recently emerged with increased global-scale spatiotemporal resolution. However, to evaluate column radiative effects and refine satellite algorithms, vertical profiles of regionally representative aerosol properties from wildfires need to be measured directly. In this study, we conducted the first comprehensive evaluation of four passive satellite remote-sensing techniques specifically designed for retrieving plume height. We compared these satellite products with the airborne Wyoming Cloud Lidar (WCL) measurements during the 2018 Biomass Burning Flux Measurements of Trace Gases and Aerosols (BB-FLUX) field campaign in the western US. Two definitions, namely, ""plume top""and ""extinction-weighted mean plume height"", were used to derive the representative heights of wildfire smoke plumes, based on the WCL-derived vertical aerosol extinction coefficient profiles. Using these two definitions, we performed a comparative analysis of multisource satellite-derived plume height products for wildfire smoke. We provide a discussion related to which satellite product is most appropriate for determining plume height characteristics near a fire event or estimating downwind plume rise equivalent height, under multiple aerosol loadings. Our findings highlight the importance of understanding the sensitivity of different passive remote-sensing techniques on space-based wildfire smoke plume height observations, in order to resolve ambiguity surrounding the concept of ""effective smoke plume height"". As additional aerosol-observing satellites are planned in the coming years, our results will inform future remote-sensing missions and EO satellite algorithm development. This bridges the gap between satellite observations and plume rise modeling to further investigate the vertical distribution of wildfire smoke aerosols.  © 2024 Copernicus Publications. All rights reserved."
7,0.8326,4064,"Aerosol samples for PM2.5 and PM10 (particulate matter with aerodynamic diameters less than 2.5 and 10 μm, respectively) were collected from 1993 to 1995 at five sites in Brisbane, a subtropical coastal city in Australia. This paper investigates the contributions of emission sources to PM2.5 and PM10 aerosol mass in Brisbane. Source apportionment results derived from the chemical mass balance (CMB), target transformation factor analysis (TTFA) and multiple linear regression (MLR) methods agree well with each other. The contributions from emission sources exhibit large variations in particle size with temporal and spatial differences. On average, the major contributors of PM10 aerosol mass in Brisbane include: soil/road side dusts (25% by mass), motor vehicle exhausts (13%, not including the secondary products), sea salt (12%), Ca-rich and Ti-rich compounds (11%, from cement works and mineral processing industries), biomass burning (7%), and elemental carbon and secondary products contribute to around 15% of the aerosol mass on average. The major sources of PM2.5 aerosols at the Griffith University (GU) site (a suburban site surrounded by forest area) are: elemental carbon (24% by mass), secondary organics (21%), biomass burning (15%) and secondary sulphate (14%). Most of the secondary products are related to motor vehicle exhausts, so, although motor vehicle exhausts contribute directly to only 6% of the PM2.5 aerosol mass, their total contribution (including their secondary products) could be substantial. This pattern of source contribution is similar to the results for Rozelle (Sydney) among the major Australian studies, and is less in contributions from industrial and motor vehicular exhausts than the other cities. An attempt was made to estimate the contribution of rural dust and road side dust. The results show that road side dusts could contribute more than half of the crustal matter. More than 80% of the contribution of vehicle exhausts arises from diesel-fuelled trucks/buses. Biomass burning, large contributions of crustal matter, and/or local contributing sources under calm weather conditions, are often the cause of the high PM10 episodes at the GU site in Brisbane.; The contributions of emission sources to PM2.5 and PM10 aerosol mass in Brisbane were investigated. Source apportionment was observed by using chemical mass balance (CMB), target transformation factor analysis (TTFA) and multiple linear regression methods. An attempt was also made to estimate the contribution of rural dust and road side dust. The results show that road side dusts could contribute more than half of the crustal matter. It was also found that biomass burning, large contributions of crustal matter, and/or local contributing sources under calm weather conditions, are often the cause of high PM10 episodes at the Griffith University (GU) site in Brisbane."
8,0.3073,661,"Reflection of solar radiation by tropical low-level clouds has an important cooling effect on climate and leads to decreases in surface temperatures. Still, the effect of pollution on ubiquitous tropical continental low-level clouds and the investigation of the related impact on atmospheric cooling rates are poorly constrained by in situ observations and modeling, in particular during the West African summer monsoon season. Here, we present comprehensive in situ measurements of microphysical properties of low-level clouds over tropical West Africa, measured with the Deutsches Zentrum für Luft- und Raumfahrt (DLR) aircraft Falcon 20 during the DACCIWA (Dynamics-Aerosol-Chemistry-Cloud Interactions in West Africa) campaign in June and July 2016. Clouds below 1800 m altitude, identified as boundary layer clouds, were classified according to their carbon monoxide (CO) pollution level into pristine and less polluted clouds (CO < 135 ppbv) and polluted low-level clouds (CO > 155 ppbv) as confirmed by the linear CO to accumulation aerosol number concentration correlation. Whereas slightly enhanced aerosol background levels from biomass burning were measured across the entire area, clouds with substantially enhanced aerosol levels were measured in the outflow of major coastal cities, as well as over rural conurbations in the hinterlands. Here we investigate the impact of pollution on cloud droplet number concentration and size during the West African monsoon season. Our results show that the cloud droplet number concentration (CDNC) measured in the size range from 3 to 50 μm around noon increases by 26 % in the elevated aerosol outflow of coastal cities and conurbations with elevated aerosol loadings from median CDNC of 240 cm-3 (52 to 501 cm-3 interquartile range) to 324 cm-3 (60 to 740 cm-3 interquartile range). Higher CDNC resulted in a 17 % decrease in effective cloud droplet diameter from a median deff of 14.8 μm to a deff of 12.4 μm in polluted clouds. Radiative transfer simulations show a non-negligible influence of higher droplet number concentrations and smaller particle sizes on the diurnally averaged (noon) net radiative forcing at the top of atmosphere of -3.9 Wm-2 (-16.3 Wm-2) of polluted with respect to less polluted clouds and lead to a change in instantaneous heating rates of -22.8 Kd-1 (-17.7 Kd-1) at the top of clouds. Thus, the atmospheric cooling by low-level clouds increases only slightly in the polluted case due to the already elevated background aerosol concentrations. Additionally, the occurrence of mid- and high-level cloud layers atop buffer this effect further, so that the net radiative forcing and instantaneous heating rate of low-level clouds turn out to be less sensitive towards projected future increases in anthropogenic pollution in West Africa.  © 2023 EandG Quaternary Science Journal. All rights reserved."
9,0.8826,1037,"Water-soluble aerosol organic matters (WSAOMs) produced by biomass pyrolysis/burning can penetrate subsurface environment, and are anticipated to have a profound effect on the fate of contaminants in aquatic ecosystems. Herein, WSAOMs derived from corn straw (CS-WSAOMs) and pinewood sawdust (PW-WSAOMs) pyrolysis at 300–900 °C were utilized to investigate their mobility characteristics and impacts on the transport of heavy metal ions (i.e., Cd2+) in saturated quartz sand with or without soil colloids. This study clearly demonstrated that WSAOMs in subsurface systems exhibited high mobility, which increased as WSAOMs molecular sizes decreased and hydrogen-bond interactions between WSAOMs and sand grains declined. WSAOMs significantly improved heavy metal (i.e., Cd2+) and soil colloid-mediated Cd2+ mobility in the porous media, which stemmed from the increased binding affinities of colloids toward metal ions and the high mobility of WSAOMs. Interestingly, in terms of the mobility and colloid-facilitated transport of Cd2+, WSAOMs from higher pyrolysis temperatures exhibited enhanced effects; meanwhile, the PW-WSAOMs demonstrated stronger effects than the CS-WSAOMs. The trends were mainly attributed to the differences in the metal-binding affinities (e.g., cation-π interactions) and transport abilities of WSAOMs, as well as diverse Cd2+ adsorption capacities of colloids induced by various WSAOMs. © 2022 Elsevier B.V."
